secID,tradeDate,ticker,ChgPct,Close,DownPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
000300.ZICN,20090514,300,-0.761,2792.59,55,2781.934,2750.594,2680.337,2482.4708,2245.7126,12.9941,74.0293,67.5322,2.7854,3.7901,24.6086,65.1653,64.1031,96156100934,8263932900,41.6667,2016/11/16 17:28
000300.ZICN,20090515,300,0.126,2796.11,46,2783.314,2767.913,2685.7875,2491.142,2252.4533,9.5326,73.4901,68.7238,2.7898,3.7892,24.6473,65.2621,64.404,74973035097,6493143100,44.3333,2016/11/16 17:28
000300.ZICN,20090518,300,0.517,2810.57,39.3333,2800.366,2777.54,2693.7815,2499.678,2260.543,7.4558,73.3836,69.6557,2.7947,3.8274,24.6908,65.9718,65.6928,88479091592,7483578600,53,2016/11/16 17:28
000300.ZICN,20090519,300,1.05,2840.08,28.6667,2810.67,2788.847,2700.4025,2507.9407,2267.934,8.2597,74.818,70.6882,2.819,3.8732,24.9059,66.9726,68.252,1.16543E+11,9770361700,64.3333,2016/11/16 17:28
000300.ZICN,20090520,300,-0.958,2812.86,68.6667,2810.442,2793.636,2707.2735,2514.647,2275.271,3.5674,72.9178,71.1341,2.7923,3.8427,24.6699,66.3641,63.4865,1.05146E+11,8793921500,23.6667,2016/11/16 17:28
000300.ZICN,20090521,300,-2.234,2750.01,83.6667,2801.926,2791.93,2715.96,2522.1165,2282.1817,-8.8795,65.5844,70.0242,2.7479,3.7643,24.2778,64.8265,53.991,1.02876E+11,8553539400,12,2016/11/16 17:28
000300.ZICN,20090522,300,-0.34,2740.67,45.6667,2790.838,2787.076,2723.3155,2529.3902,2289.7069,-18.6845,58.3464,67.6886,2.7343,3.7532,24.1575,64.7144,52.7128,74407198653,6149901200,47.6667,2016/11/16 17:28
000300.ZICN,20090525,300,0.439,2752.71,51,2779.266,2789.816,2732.307,2538.7657,2297.3604,-23.548,52.9711,64.7451,2.747,3.7892,24.2693,65.4033,54.2364,91048816066,7409167100,42.6667,2016/11/16 17:28
000300.ZICN,20090526,300,-1.197,2719.76,64.6667,2755.202,2782.936,2742.6305,2548.4203,2304.6627,-30.7481,45.5276,60.9016,2.7175,3.7556,24.0089,64.9351,49.4772,88894895681,7231601200,28,2016/11/16 17:28
000300.ZICN,20090527,300,1.469,2759.71,32.3333,2744.572,2777.507,2754.6895,2558.3378,2312.073,-29.6605,42.3638,57.194,2.7709,3.7716,24.4807,65.2,54.7312,78602246106,6797664500,64,2016/11/16 17:28
000300.ZICN,20090601,300,3.574,2858.34,3.3333,2766.238,2784.082,2767.338,2570.2743,2320.6432,-15.8782,47.2702,55.2093,2.8699,3.8801,25.3553,66.9154,64.636,1.32968E+11,10856488300,93.6667,2016/11/16 17:28
000300.ZICN,20090602,300,0.236,2865.09,45.3333,2791.122,2790.98,2779.4465,2579.9402,2328.9839,-6.5524,51.114,54.3902,2.8701,3.9055,25.3571,67.439,65.2044,1.30132E+11,10833839700,48.3333,2016/11/16 17:28
000300.ZICN,20090603,300,2.593,2939.38,30.6667,2828.456,2803.861,2790.7005,2590.5147,2337.9068,8.1265,59.4693,55.406,2.9375,3.9574,25.9523,68.4789,70.833,1.31607E+11,11207331000,66,2016/11/16 17:28
000300.ZICN,20090604,300,0.489,2953.75,52.6667,2875.254,2815.228,2802.0375,2601.6343,2346.2493,17.7249,66.4841,57.6216,2.9329,3.9779,25.9121,68.6837,71.7957,1.53771E+11,13012771000,45,2016/11/16 17:28
000300.ZICN,20090605,300,-0.489,2939.3,61.6667,2911.172,2827.872,2810.754,2613.914,2354.2191,19.9168,70.0697,60.1112,2.9163,3.9634,25.7651,68.2427,69.2869,1.31348E+11,10847632400,33.3333,2016/11/16 17:28
000300.ZICN,20090608,300,0.312,2948.47,57.3333,2929.198,2847.718,2819.824,2625.7088,2362.0133,20.321,72.8119,62.6514,2.9433,3.9464,26.0036,68.3724,70.0123,1.14539E+11,9611636600,38,2016/11/16 17:28
000300.ZICN,20090609,300,0.41,2960.55,49.3333,2948.29,2869.706,2828.391,2638.045,2369.2259,19.9085,75.0942,65.1399,2.9705,3.9656,26.2441,68.1523,70.9968,1.08747E+11,9198988600,47,2016/11/16 17:28
000300.ZICN,20090610,300,0.981,2989.59,19,2958.332,2893.394,2841.605,2650.9432,2377.1322,21.1251,78.3431,67.7806,3.0011,4.0122,26.5149,68.8055,73.2959,1.16455E+11,10179003900,76.3333,2016/11/16 17:28
000300.ZICN,20090611,300,-0.936,2961.62,71.3333,2959.906,2917.58,2850.258,2663.5465,2384.3424,15.9744,77.7646,69.7774,2.9812,3.9745,26.3384,68.1055,67.6604,1.0189E+11,8711599700,24,2016/11/16 17:28
000300.ZICN,20090612,300,-1.869,2906.28,88,2953.302,2932.237,2854.872,2674.6243,2391.5087,3.573,72.0105,70.224,2.9233,3.89,25.8273,66.701,58.0301,92135559576,8006706700,9,2016/11/16 17:28
000300.ZICN,20090615,300,2.061,2966.19,20.6667,2956.846,2943.022,2863.552,2685.3542,2399.8904,1.979,71.4609,70.4714,2.988,3.9421,26.3985,67.4427,64.0698,92689634822,7435209000,75.6667,2016/11/16 17:28
000300.ZICN,20090616,300,-0.168,2961.22,52.3333,2956.98,2952.635,2871.8075,2695.8303,2408.1087,-1.0432,69.8194,70.341,2.9723,3.9398,26.2597,67.5258,63.2461,89928387200,7017924200,42,2016/11/16 17:28
000300.ZICN,20090617,300,1.667,3010.58,12.3333,2961.178,2959.755,2881.808,2706.2973,2416.5764,2.1348,71.6752,70.6078,3.0087,4.0031,26.5818,68.8766,67.7396,99945527361,7729311800,84.3333,2016/11/16 17:28
000300.ZICN,20090618,300,1.556,3057.42,26.3333,2980.338,2970.122,2892.675,2717.5905,2425.3764,8.7057,76.0489,71.696,3.0661,4.0495,27.0886,69.3421,71.3639,1.22777E+11,9628131600,67.6667,2016/11/16 17:28
000300.ZICN,20090619,300,0.739,3080,39.6667,3015.082,2984.192,2906.032,2728.2673,2434.0006,13.9427,80.4102,73.4389,3.0974,4.0573,27.3648,69.4714,72.9613,1.19434E+11,10251806900,54.3333,2016/11/16 17:28
000300.ZICN,20090622,300,0.083,3082.56,56,3038.356,2997.601,2922.6595,2738.7803,2442.5877,15.4819,83.115,75.3741,3.1239,4.0357,27.599,69.0561,73.1466,1.22685E+11,10395258300,41.3333,2016/11/16 17:28
000300.ZICN,20090623,300,0.043,3083.89,58,3062.89,3009.935,2939.8205,2750.1565,2451.4739,14.4304,84.3931,77.1779,3.1299,4.0139,27.6527,69.0341,73.2505,1.27095E+11,11150673400,39.3333,2016/11/16 17:28
000300.ZICN,20090624,300,1.195,3120.73,13.3333,3084.92,3023.049,2958.2215,2760.839,2461.4887,16.3098,87.3715,79.2166,3.156,4.0964,27.8833,70.5241,76.0502,1.32431E+11,10942431300,83.3333,2016/11/16 17:28
000300.ZICN,20090625,300,-0.09,3117.92,63.3333,3097.02,3038.679,2978.1295,2771.1555,2471.7458,14.8297,88.4852,81.0703,3.1606,4.0794,27.9234,70.4034,75.3936,1.07707E+11,8280688700,31.6667,2016/11/16 17:28
000300.ZICN,20090626,300,0.337,3128.42,48,3106.704,3060.893,2996.565,2781.8878,2482.2263,12.9866,89.1869,82.6937,3.1656,4.0925,27.9681,70.3182,76.2302,88663497082,7050090800,43,2016/11/16 17:28
000300.ZICN,20090629,300,1.648,3179.97,22,3126.186,3082.271,3012.6465,2793.091,2493.2087,16.2223,92.8326,84.7214,3.2132,4.1482,28.3887,71.069,79.8917,1.07539E+11,8499707500,71,2016/11/16 17:28
000300.ZICN,20090630,300,-0.425,3166.47,65,3142.702,3102.796,3027.7155,2803.3952,2504.1397,14.1322,93.5541,86.488,3.1928,4.1346,28.2082,70.6862,76.524,1.18926E+11,8678234700,30.3333,2016/11/16 17:28
